,name,type,date
351,Maundy Thursday,Regular Holiday,06/04/2023
352,Good Friday,Regular Holiday,07/04/2023
353,Black Saturday,Special Non-working Holiday,08/04/2023
354,Easter Sunday,Observance,09/04/2023
355,The Day of Valor,Observance,09/04/2023
356,The Day of Valor,Regular Holiday,10/04/2023
357,Eidul-Fitar Holiday,Regular Holiday,21/04/2023
358,Eidul-Fitar,Observance,22/04/2023
359,Labor Day,Regular Holiday,01/05/2023
360,Independence Day,Regular Holiday,12/06/2023
361,June Solstice,Season,21/06/2023
362,Eid al-Adha (Feast of the Sacrifice),Regular Holiday,28/06/2023
363,Eid al-Adha Day 2 (Tentative Date),Common local holiday,29/06/2023
364,Amun Jadid,"Muslim, Common local holiday",19/07/2023
365,Ninoy Aquino Day,Special Non-working Holiday,21/08/2023
366,National Heroes Day,Regular Holiday,28/08/2023
367,Yamashita Surrender Day,Special Working Day,03/09/2023
368,Feast of the Nativity of Mary,Special Working Day,08/09/2023
369,September Equinox,Season,23/09/2023
370,Maulid un-Nabi (Tentative Date),Common local holiday,27/09/2023
371,All Saints' Day,Special Non-working Holiday,01/11/2023
372,All Souls' Day,Special Non-working Holiday,02/11/2023
373,Bonifacio Day,Regular Holiday,27/11/2023
374,Bonifacio Day,Observance,30/11/2023
375,Feast of the Immaculate Conception,Special Non-working Holiday,08/12/2023
376,December Solstice,Season,22/12/2023
377,Christmas Eve,Observance,24/12/2023
378,Christmas Day,Regular Holiday,25/12/2023
379,Rizal Day,Regular Holiday,30/12/2023
380,New Year's Eve,Special Non-working Holiday,31/12/2023
381,New Year's Day,Regular Holiday,01/01/2024
382,First Philippine Republic Day,Special Working Day,23/01/2024
383,Lailatul Isra Wal Mi Raj (Tentative Date),Common local holiday,07/02/2024
384,Lunar New Year's Day,Special Non-working Holiday,10/02/2024
385,People Power Anniversary,Special Non-working Holiday,25/02/2024
386,Ramadan Start (Tentative Date),Observance,11/03/2024
387,March Equinox,Season,20/03/2024
388,Maundy Thursday,Regular Holiday,28/03/2024
389,Good Friday,Regular Holiday,29/03/2024
390,Black Saturday,Special Non-working Holiday,30/03/2024
391,Easter Sunday,Observance,31/03/2024
392,The Day of Valor,Regular Holiday,09/04/2024
393,Eidul-Fitar (Tentative Date),Regular Holiday,10/04/2024
394,Labor Day,Regular Holiday,01/05/2024
395,Independence Day,Regular Holiday,12/06/2024
396,Eid al-Adha (Feast of the Sacrifice) (Tentative Date),Regular Holiday,17/06/2024
397,Eid al-Adha Day 2 (Tentative Date),Common local holiday,18/06/2024
398,June Solstice,Season,21/06/2024
399,Amun Jadid,"Muslim, Common local holiday",08/07/2024
400,Ninoy Aquino Day,Special Non-working Holiday,21/08/2024
401,National Heroes Day,Regular Holiday,26/08/2024
402,Yamashita Surrender Day,Special Working Day,03/09/2024
403,Feast of the Nativity of Mary,Special Working Day,08/09/2024
404,Maulid un-Nabi (Tentative Date),Common local holiday,16/09/2024
405,September Equinox,Season,22/09/2024
406,All Saints' Day,Special Non-working Holiday,01/11/2024
407,All Souls' Day,Observance,02/11/2024
408,Bonifacio Day,Regular Holiday,30/11/2024
409,Feast of the Immaculate Conception,Special Non-working Holiday,08/12/2024
410,December Solstice,Season,21/12/2024
411,Christmas Eve,Observance,24/12/2024
412,Christmas Day,Regular Holiday,25/12/2024
413,Rizal Day,Regular Holiday,30/12/2024
414,New Year's Eve,Special Non-working Holiday,31/12/2024
415,New Year's Day,Regular Holiday,01/01/2025
416,First Philippine Republic Day,Special Working Day,23/01/2025
417,Lailatul Isra Wal Mi Raj (Tentative Date),Common local holiday,27/01/2025
418,Lunar New Year's Day,Special Non-working Holiday,29/01/2025
419,People Power Anniversary,Special Non-working Holiday,25/02/2025
420,Ramadan Start (Tentative Date),Observance,01/03/2025
421,March Equinox,Season,20/03/2025
422,Eidul-Fitar (Tentative Date),Regular Holiday,31/03/2025
423,The Day of Valor,Regular Holiday,09/04/2025
424,Maundy Thursday,Regular Holiday,17/04/2025
425,Good Friday,Regular Holiday,18/04/2025
426,Black Saturday,Special Non-working Holiday,19/04/2025
427,Easter Sunday,Observance,20/04/2025
428,Labor Day,Regular Holiday,01/05/2025
